Trial,Study,Dose,Design,Design_code,Interval,Days,Group,G_code,CODE,Group_code,Group_list,Age,Gender,Task,n1i,m1i,sd1i,n2i,m2i,sd2i,Task_code,t,r,sdc,Ni,yi,vi,sei,zi,ci.lb,ci.ub
8,Woolley et al. 2014   ,40,Within,1,30,7,Schizophrenia,4,2,2,Clinical,44.6,0,TASIT: Social,29,72.8,12.4,,67.2,11.8,3,1.960136,0.192380248,15.38511762,87,0.3541,0.0366,0.1914,1.85,-0.0211,0.7293
8,Woolley et al. 2014   ,40,Within,1,30,7,Schizophrenia,4,3,2,Clinical,44.6,0,RMET,29,64.5,15.4,,64.7,12.5,1,0.1013435,0.728481072,-10.6275485,87,-0.0183,0.0345,0.1857,-0.0986,-0.3823,0.3457
9,Jesso et al. 2011 ,24,Within,1,20,14,FTD,1,6,2,Clinical,64.4,,RMET,20,15.1,4.8,,16.5,5.1,1,2.121320344,0.823915214,-2.951459149,20,-0.4553,0.0552,0.2349,-1.9383,-0.9157,0.0051
10,Mitchell et al. 2016 ,40,Within,1,30,7,Alcohol dependence,7,9,2,Clinical,28.9,0.40625,RMET,30,77.2,9.616652224,,76.4,8.485281374,1,1.35,0.943290567,3.245763304,30,0.24,0.0343,0.1852,1.2962,-0.1229,0.603
11,Woolley et al. 2016 ,40,Within,1,45,7,Opioid dependence,6,5,2,Clinical,57.97,0,RMET,33,60.71,11.44,,65.96,10.81,1,3.014949,0.597037313,-10.00313899,33,-0.5124,0.0343,0.1852,-2.7676,-0.8753,-0.1495
12,Leppanen et al. 2017 ,40,Within,1,15,3,,,16,3,Healthy,26.83,1,RMET,29,0.6973,0.12364,,0.7174,0.09653,1,,0.6598,,29,-0.2078,0.0352,0.1877,-1.1072,-0.5757,0.1601
13,Leppanen et al. 2017   ,40,Within,1,15,3,AN,2,10,2,Clinical,26.2,1,RMET,30,0.7667,0.09187,,0.7528,0.12301,1,,0.1919,,30,0.0976,0.0335,0.183,0.5333,-0.2611,0.4563
14,Feeser et al. 2015 ,24,Between,2,45,0, ,,22,3,Healthy,28.05,0,RMET,36,0.75,0.08,35,0.7,0.08,1,,,,71,0.6182,0.059,0.243,2.5441,0.1419,1.0944
15,Luminet et al. 2011 ,32,Between,2,45,0, ,,21,3,Healthy,21.08,0,RMET,30,0.72,0.07,30,0.69,0.12,1,,,,60,0.3014,0.0674,0.2597,1.1608,-0.2075,0.8103
16,Riem et al. 2014 ,16,Between,2,60,0, ,,19,3,Healthy,19.62,1,RMET,25,29.33,5.325,25,29.42,5.45,1,,,,50,-0.0164,0.08,0.2828,-0.0581,-0.5708,0.5379
17,Cardoso et al. 2014 ,24,Between,2,120,0, ,,11,3,Healthy,,0.5,MSCEIT: Blends,42,97.82,8.91,40,97.36,10.43,2,,,,246,0.0471,0.0488,0.221,0.213,-0.386,0.4801
17,Cardoso et al. 2014 ,24,Between,2,120,0, ,,12,3,Healthy,,0.5,MSCEIT: Changes,42,96.78,11.76,40,95.75,12.82,2,,,,246,0.083,0.0489,0.221,0.3757,-0.3502,0.5162
17,Cardoso et al. 2014 ,24,Between,2,120,0, ,,13,3,Healthy,,0.5,MSCEIT: Faces,42,47.1,11.85,40,53.05,6.44,2,,,,246,-0.6139,0.0511,0.2261,-2.7154,-1.057,-0.1708
