Trial,Study,Dose,Design,Design_code,Interval,Days,Group,G_code,Group_code,Group_list,Age,CODE,Task,Task_code,n1i,m1i,sd1i,n2i,m2i,sd2i,Ceiling,r,Ni,yi,vi,sei,zi,ci.lb,ci.ub
11,Bertsch et al. 2013 (4.1),26,Between,2,40,,,,2,Healthy,24.5,15,Emotion recognition: Eyes,1,21,94.6,9.470656436,20,92,9.242414307,0,,82,0.2724,0.0985,0.3139,0.8678,-0.3428,0.8876
12,Feeser et al. 2014 (1),24,Between,2,45,,,,2,Healthy,37.9,25,Emotion recognition,2,41,0.64,0.11,41,0.57,0.12,1,,82,0.6024,0.051,0.2258,2.6676,0.1598,1.045
13,Lischke et al. 2012 (3),24,Between,2,45,,,,2,Healthy,26.08,30,Dynamic emotion recognition,3,23,90.9375,8.3725,24,90.0825,8.8925,0,,47,0.0973,0.0852,0.292,0.3332,-0.475,0.6695
14,Marsh et al. 2010 (1),24,Between,2,35,,,,2,Healthy,26.4,21,Emotion recognition,2,24,0.278333333,0.138804419,26,0.23,0.122474487,1,,50,0.3644,0.0815,0.2854,1.2768,-0.195,0.9238
15,Schulze et al. 2011 (6.1),24,Between,2,45,,,,2,Healthy,24.18,12,Masked emotion recognition (18ms),4,28,0.74,0.455,28,0.6,0.5,1,,168,0.2888,0.0722,0.2687,1.0749,-0.2378,0.8153
15,Schulze et al. 2011 (6.2),24,Between,2,45,,,,2,Healthy,24.18,11,Masked emotion recognition (35ms),4,28,1.325,0.445,28,0.955,0.675,1,,168,0.6382,0.0751,0.274,2.3293,0.1012,1.1752
15,Schulze et al. 2011 (6.3),24,Between,2,45,,,,2,Healthy,24.18,10,Masked emotion recognition (53ms),4,28,1.61,0.56,28,1.19,0.79,1,,168,0.6048,0.0747,0.2733,2.213,0.0692,1.1405
16,Xu et al. 2015 (6),40,Between,2,45,,,,2,Healthy,23.15,,RSVP,4,29,75.82666667,2.186666667,31,68.37,2.736666667,1,,60,2.96,0.1398,0.3738,7.9179,2.2273,3.6927
17,Campbell et al. 2014d (1),20,Between,2,45,,Older male,,2,Healthy,72.07,17,Emotion recognition,2,17,0.801666667,0.079256152,17,0.721078431,0.121807938,1,,34,0.7657,0.1263,0.3553,2.1548,0.0692,1.4622
18,Bertsch et al. 2013 (4.1) ,26,Between,2,40,,BPD,3,1,Clinical,24.05,7,Emotion recognition: Eyes,1,19,92.93333333,7.700721467,19,93.13333333,8.281907993,0,,76,-0.0245,0.1053,0.3245,-0.0755,-0.6604,0.6114
18,Bertsch et al. 2013 (4.2) ,26,Between,2,40,,BPD,3,1,Clinical,24.05,6,Emotion recognition: Mouth,1,19,92.06666667,7.846018098,19,93.2,8.572501256,0,,76,-0.135,0.1055,0.3248,-0.4157,-0.7716,0.5016
19,Campbell et al. 2014c (1),20,Between,2,45,,Older female,,2,Healthy,72.07,18,Emotion recognition,2,17,0.801053922,0.089885325,17,0.816544118,0.099765674,1,,34,-0.1593,0.118,0.3435,-0.4636,-0.8326,0.5141
20,Campbell et al. 2014b (1),20,Between,2,45,,Young male,,2,Healthy,19.68,19,Emotion recognition,2,17,0.829926471,0.079858758,17,0.831176471,0.088236063,1,,34,-0.0145,0.1177,0.343,-0.0423,-0.6868,0.6578
21,Campbell et al. 2014a (1),20,Between,2,45,,Young female,,2,Healthy,19.68,20,Emotion recognition,2,17,0.851544118,0.061883945,17,0.846593137,0.078523278,0,,34,0.0684,0.1177,0.3431,0.1993,-0.6041,0.7408
22,Gamer et al. 2010,24,Between,2,45,,,,2,Healthy,25,24,Emotion recognition,2,23,97.125,4.316248371,23,96.8,6.953955709,0,,46,0.0552,0.087,0.2949,0.1871,-0.5229,0.6333
23,Kanat et al. 2015,24,Between,2,45,,,,,Healthy,23.64,,Masked emotion recognition (17ms),4,21,1.415,0.8025,22,1.4575,0.8075,1,,86,-0.0518,0.0931,0.3051,-0.1698,-0.6498,0.5462
23,Kanat et al. 2015,24,Between,2,45,,,,,Healthy,23.64,,Masked emotion recognition (68ms),4,21,3.3375,0.9,22,3.4275,0.9675,1,,86,-0.0945,0.0931,0.3052,-0.3096,-0.6926,0.5036
